ticker,date_t,date_t1,real_negative,real_neutral,real_positive,generated_negative,generated_neutral,generated_positive,real_label,generated_label,sentiment_match,real_net_sentiment,generated_net_sentiment,kl_divergence
QQQ,2023-07-03,2023-07-04,0.018936774919302207,0.7695513080972691,0.21151191698342872,0.013374491286207517,0.9055003945483079,0.08112511416548464,neutral,neutral,True,0.19257514206412651,0.06775062287927712,0.08408420778838593
SPY,2023-07-03,2023-07-04,0.024741467917983276,0.8494039462679458,0.12585458581407097,0.014722256167117424,0.9222121362372604,0.06306560759562214,neutral,neutral,True,0.10111311789608769,0.048343351428504724,0.029947890521538213
QQQ,2023-07-05,2023-07-06,0.013849691681326716,0.3774692766946174,0.608681031624056,0.015071310945114732,0.9271790903347967,0.05774959872008853,positive,neutral,False,0.5948313399427292,0.042678287774973796,1.0931658232459316
SPY,2023-07-05,2023-07-06,0.028262186269048858,0.034621923517027434,0.9371158902139237,0.22571990001454242,0.039861655821544904,0.7344184441639127,positive,positive,True,0.9088537039448749,0.5086985441493702,0.16479986907974017
QQQ,2023-07-06,2023-07-07,0.021887548703580714,0.9275535336427881,0.0505589176536312,0.9306620580757498,0.035601615917514096,0.03373632600673613,neutral,negative,False,0.028671368950050485,-0.8969257320690136,2.96234894240425
SPY,2023-07-06,2023-07-07,0.01243841556127967,0.6981326348130895,0.2894289496256308,0.0316389044630854,0.7865179542744769,0.18184314126243767,neutral,neutral,True,0.27699053406435115,0.15020423679935227,0.039682171570841765
QQQ,2023-07-10,2023-07-11,0.0711390993338555,0.5532152221565014,0.37564567850964303,0.18340825761246296,0.7047676935081527,0.11182404887938427,neutral,neutral,True,0.30450657917578755,-0.07158420873307869,0.25385794509320597
SPY,2023-07-10,2023-07-11,0.8183809105690028,0.09750285962602928,0.08411622980496801,0.10115487335753368,0.020779403352315422,0.8780657232901509,negative,positive,False,-0.7342646807640347,0.7769108499326172,1.664403735686092
QQQ,2023-07-11,2023-07-12,0.016057235035091846,0.7938830640929931,0.19005970087191504,0.07148057368823571,0.02289233589883092,0.9056270904129333,neutral,positive,False,0.1740024658368232,0.8341465167246976,2.4944998049196156
SPY,2023-07-11,2023-07-12,0.8449316022779776,0.03135553898008451,0.1237128587419379,0.02718675075799039,0.9026954568320038,0.0701177924100058,negative,neutral,False,-0.7212187435360397,0.04293104165201542,2.8685174371878506
QQQ,2023-07-12,2023-07-13,0.019707533654634395,0.03839702001822285,0.9418954463271427,0.4398258872232896,0.5074647948591855,0.05270931791752491,positive,neutral,False,0.9221879126725083,-0.38711656930576466,2.5552614389143593
SPY,2023-07-12,2023-07-13,0.952991966870576,0.015456817184839478,0.031551215944584536,0.7689425635688962,0.14498527888153787,0.08607215754956594,negative,negative,True,-0.9214407509259914,-0.6828704060193302,0.13823740504612003
QQQ,2023-07-13,2023-07-14,0.0160127653478625,0.20887437307183165,0.7751128615803058,0.01595035928524763,0.7172943896256805,0.26675525108907183,positive,neutral,False,0.7591000962324432,0.2508048918038242,0.5691581862202049
SPY,2023-07-13,2023-07-14,0.3317580223083496,0.2984122633934021,0.3698297142982483,0.02341057265479495,0.9078550693857604,0.06873435795944467,positive,neutral,False,0.03807169198989868,0.04532378530464973,1.1698938024641372
SPY,2023-07-14,2023-07-15,0.01703396047986343,0.9159603612576385,0.0670056782624981,0.19196454119603054,0.0596019713491642,0.7484334874548052,neutral,positive,False,0.04997171778263468,0.5564689462587746,2.299707823121273
QQQ,2023-07-17,2023-07-18,0.9636298347764922,0.01054041303466226,0.025829752188845558,0.17857888474001649,0.7816742120807931,0.03974690317919033,negative,neutral,False,-0.9378000825876467,-0.13883198156082616,1.5678463520107566
SPY,2023-07-17,2023-07-18,0.9164821164130376,0.013704545285383415,0.06981333830157897,0.09228673772294893,0.07092036629197798,0.8367928959850731,negative,positive,False,-0.8466687781114586,0.7445061582621242,1.9079880101068314
QQQ,2023-07-18,2023-07-19,0.031504778880447934,0.03255373863303145,0.9359414824865206,0.9286982019244532,0.01797481363002078,0.053326984445526,positive,negative,False,0.9044367036060728,-0.8753712174789272,2.5943091127425157
